,type,run_mems,baselines,encoding
0,tsne,3680.58203125,3672.1328125,yes
1,tsne,3681.97265625,3672.1328125,yes
2,tsne,3682.1953125,3672.1328125,yes
3,tsne,3682.234375,3672.1328125,yes
4,tsne,3682.1875,3672.1328125,yes
5,tsne,3682.21875,3672.1328125,yes
6,tsne,3682.25,3672.1328125,yes
7,tsne,3682.21484375,3672.1328125,yes
8,tsne,3682.25390625,3672.1328125,yes
9,tsne,3682.1640625,3672.1328125,yes
10,tsne,3682.171875,3672.1328125,yes
11,tsne,3682.19921875,3672.1328125,yes
12,tsne,3682.203125,3672.1328125,yes
13,tsne,3682.18359375,3672.1328125,yes
14,tsne,3682.15234375,3672.1328125,yes
15,tsne,3682.19921875,3672.1328125,yes
16,tsne,3682.19921875,3672.1328125,yes
17,tsne,3682.1484375,3672.1328125,yes
18,tsne,3682.1875,3672.1328125,yes
19,tsne,3682.16796875,3672.1328125,yes
20,tsne,3682.19140625,3672.1328125,yes
21,tsne,3682.1640625,3672.1328125,yes
22,tsne,3682.203125,3672.1328125,yes
23,tsne,3682.21875,3672.1328125,yes
24,tsne,3682.22265625,3672.1328125,yes
25,tsne,3682.19921875,3672.1328125,yes
26,tsne,3682.2421875,3672.1328125,yes
27,tsne,3682.234375,3672.1328125,yes
28,tsne,3682.23828125,3672.1328125,yes
29,tsne,3682.21484375,3672.1328125,yes
30,tsne,3682.203125,3672.1328125,yes
31,tsne,3682.23828125,3672.1328125,yes
32,tsne,3682.25390625,3672.1328125,yes
33,tsne,3681.2890625,3672.1328125,yes
34,tsne,3615.1875,3672.1328125,yes
35,tsne,3615.1796875,3672.1328125,yes
36,tsne,3615.21484375,3672.1328125,yes
37,tsne,3615.19140625,3672.1328125,yes
38,tsne,3615.2109375,3672.1328125,yes
39,tsne,3615.22265625,3672.1328125,yes
40,tsne,3615.19140625,3672.1328125,yes
41,tsne,3615.21875,3672.1328125,yes
42,tsne,3615.2265625,3672.1328125,yes
43,tsne,3615.19921875,3672.1328125,yes
